product_id,videos,name,sku,url
315,0,Haakaa Wide Neck Glass Baby Bottle,,https://www.haakaaofficial.co.uk/haakaa-wide-neck-glass-baby-bottle/
316,0,Haakaa 100% Natural Disposable Nursing Pads - Round,BF_5388,https://www.haakaaofficial.co.uk/haakaa-100-natural-disposable-nursing-pads-round/
317,0,Haakaa 300ml Wide Neck Stainless Steel Baby Bottle - Blue / Pink,,https://www.haakaaofficial.co.uk/haakaa-300ml-wide-neck-stainless-steel-baby-bottle/
318,1,Haakaa 360Ì´åÁ Silicone Toothbrush,,https://www.haakaaofficial.co.uk/haakaa-360-silicone-toothbrush/
319,0,Haakaa Wide Neck Breast Milk Storage Set - Borosilicate Glass,BF_5382,https://www.haakaaofficial.co.uk/haakaa-wide-neck-breast-milk-storage-set-borosilicate-glass/
320,0,Haakaa Wide Neck Anti-Colic Nipple,,https://www.haakaaofficial.co.uk/haakaa-wide-neck-anti-colic-nipple/
321,0,Haakaa Variable Flow,BF_6227,https://www.haakaaofficial.co.uk/haakaa-variable-flow/
322,0,Haakaa Stainless Steel Straw Straight With Ridges (3P),,https://www.haakaaofficial.co.uk/haakaa-stainless-steel-straw-straight-with-ridges/
323,0,Haakaa Silicone Teething Toothbrush with Suction Stand,BF_5305,https://www.haakaaofficial.co.uk/haakaa-silicone-teething-toothbrush-with-suction-stand/
324,1,Haakaa Silicone Noodle Spoon Green,BF_6434,https://www.haakaaofficial.co.uk/haakaa-silicone-noodle-spoon-green/
325,0,Haakaa Silicone Nipple Wide Neck 0-3m Slow Flow,BF_6226,https://www.haakaaofficial.co.uk/haakaa-silicone-nipple-wide-neck-0-3m-slow-flow/
326,0,Haakaa Silicone Nipple Shields - 2 Pack,BF_5383,https://www.haakaaofficial.co.uk/haakaa-silicone-nipple-shields-2-pack/
327,0,Haakaa Silicone Inverted Nipple Corrector,BF_6433,https://www.haakaaofficial.co.uk/haakaa-silicone-inverted-nipple-corrector/
328,0,Haakaa Silicone Breast Pump Flower Stopper,,https://www.haakaaofficial.co.uk/haakaa-silicone-breast-pump-flower-stopper/
329,1,Haakaa Silicone Breast Pump 100/150ml,,https://www.haakaaofficial.co.uk/haakaa-silicone-breast-pump/
330,1,Haakaa Generation 3 Breast Milk Storage Set,BF_7129,https://www.haakaaofficial.co.uk/haakaa-breast-milk-storage-set/
331,1,Haakaa Silicone Bottle Anti-Colic Nipple 2Pcs,,https://www.haakaaofficial.co.uk/haakaa-silicone-bottle-anti-colic-nipple-2pcs/
332,1,Haakaa Silicone Baby Food Freezer Tray 6X Cup,,https://www.haakaaofficial.co.uk/haakaa-silicone-baby-food-freezer-tray-6x-cup/
333,1,Haakaa Silicone Breast Pump Cap - Fits all Pumps,BF_7116,https://www.haakaaofficial.co.uk/haakaa-silicone-breast-pump-cap-fits-all-pumps/
334,0,Haakaa New Mum Starter Kit,BF_6190,https://www.haakaaofficial.co.uk/haakaa-new-mum-starter-kit/
335,0,Haakaa New Mum Premium Kit,BF_6191,https://www.haakaaofficial.co.uk/haakaa-new-mum-premium-kit/
336,0,Haakaa Nano Silver Silicone Pacifier,BF_6100,https://www.haakaaofficial.co.uk/haakaa-nano-silver-silicone-pacifer/
337,1,Haakaa Multi Function Breast Pump Flange,BF_7114,https://www.haakaaofficial.co.uk/haakaa-multi-function-breast-pump-flange/
338,0,Haakaa Dust Cap for Silicone Pump,BF_5303,https://www.haakaaofficial.co.uk/haakaa-lid-for-silicone-pump/
339,0,Haakaa Goats Wool Wooden Hairbrush,BF_6432,https://www.haakaaofficial.co.uk/haakaa-goats-wool-wooden-hairbrush/
340,0,Haakaa Gift Set 150ml Breast Pump & Silicone Cap,BF_7249,https://www.haakaaofficial.co.uk/haakaa-gift-set-150ml-breast-pump-silicone-cap/
343,1,Haakaa Silicone Baby Bottle Grey,,https://www.haakaaofficial.co.uk/haakaa-silicone-baby-bottle-grey/
344,1,Haakaa Silicone Baby Bottle Nude,,https://www.haakaaofficial.co.uk/haakaa-silicone-baby-bottle-nude/
345,1,Haakaa Generation 3 Sippy Spout Attachment,BF_7237,https://www.haakaaofficial.co.uk/haakaa-gen-3-sippy-spout-attachment/
346,1,Haakaa Generation 3 Sealing Disks - 2 (pcs),BF_7236,https://www.haakaaofficial.co.uk/haakaa-gen-3-sealing-disks/
347,1,Haakaa Generation 3 Feeding Spoon Head attachment,BF_7235,https://www.haakaaofficial.co.uk/haakaa-gen-3-feeding-spoon-head-attachment/
348,1,Haakaa Flow Cup (Menstrual Cup) Short Stem 18ml,BF_6435,https://www.haakaaofficial.co.uk/haakaa-flow-cup-menstrual-cup-short-stem-18ml/
349,0,Haakaa Disposable Nursing Pad Butterfly,BF_7109,https://www.haakaaofficial.co.uk/haakaa-disposable-nursing-pad-butterfly/
350,1,Haakaa Breast Feeding Nipple Shield Round 1Pc,BF_7108,https://www.haakaaofficial.co.uk/haakaa-breast-feeding-nipple-shield-round-1pc/
351,1,Haakaa Generation 3 Silicone Breast Pump 160/250ml - Grey,,https://www.haakaaofficial.co.uk/haakaa-generation-3-silicone-breast-pump-160-250ml-grey/
352,1,Haakaa Silicone Pump and Bottle Pack,,https://www.haakaaofficial.co.uk/haakaa-silicone-pump-and-bottle-pack/
353,1,Haakaa Oral Medicine Syringe,BF_7118,https://www.haakaaofficial.co.uk/haakaa-oral-medicine-syringe/
